query,intent
who is Don Wight's overseer?,people
leadership above Sohan Swain?,people
who is over Kunal Shukla?,people
authority above Kleavin Howatt?,people
manager above Himanshu Rana?,people
who is head of Yashi Gupta?,people
leader of Christine Davis?,people
superior officer of Poorvi Shukla?,people
whose command is Nilesh Thakur under?,people
who supervises Nick Wort?,people
who directs MacKenzie Crow?,people
head of Mike McDermott?,people
immediate manager of Matt Coffey?,people
higher authority for Matt Shea?,people
who controls Nivika Malhotra?,people
executive above Shubham Garg?,people
admin over Monica Zhang?,people
who oversees Shubham Bhardwaj?,people
who leads Dhruv Vashist?,people
top boss of Adam Laker?,people
who is senior to Sahil Garg?,people
managing authority of Christy Schoon?,people
guidance for Brianna Dougherty comes from who?,people
who commands Rhonda Orman?,people
manager in charge of Jake German?,people
management over Dan Gallo?,people
who has charge of Harsh Dubey?,people
accountable manager for Lokesh Kumar?,people
to whom does Tanya Chawla report?,people
who is in charge of Brendan Ballintine?,people
which manager has Nazim Akhtar?,people
whose team includes Kevin Cox?,people
head responsible for Anna Korniienko?,people
reporting manager of Sadi Hussain?,people
who directs work of Daniel Batista?,people
who handles Amange Al-Jaf?,people
supervisor assigned to Sahil Tyagi?,people
senior officer of Raghav Tyagi?,people
top manager of Vikrant Naik Gaonkar?,people
leader responsible for Mohammad Zaid?,people
to which manager is Samiksha Rana assigned?,people
who is responsible for Shubham Jain?,people
who leads over Anna McDonald?,people
chain of command above Renisha Dias?,people
senior in charge of Vedran Rutnik?,people
who controls work of Rajesh Saini?,people
who gives orders to Vikram Singh?,people
whose supervision is Mahir Kukreja under?,people
who directs tasks of Shashank Verma?,people
who has authority over Austin Lemler?,people
who manages the work of Biswajit Das?,people
whose leadership is Madhavi Polepeddi under?,people
head responsible above Himanshu Shekher?,people
who is higher authority for Sachin Verulkar?,people
who governs Jason Li?,people
boss responsible for Aaron Levermann?,people
who is at the top of Yulling Tsai?,people
management head of Raj Kishan Rawat?,people
supervisor responsible for Tarun Singh?,people
who is commander of Chris Campbell?,people
who directs and manages Bharat Madaan?,people
who is over and above Yatin Manchanda?,people
to whom is Sudarshan Shenoy answerable?,people
manager who oversees Arbind Kumar?,people
whose authority is Daniel Kim under?,people
executive responsible for Laxman Kaande?,people
who guides Mike McDermott?,people
whose management is Mayank Sethi under?,people
who has power over Jason Li?,people
who is main manager of Pranshu Gupta?,people
whose supervision guides Anisha Agarwal?,people
who is superior to Rafael Lupian?,people
under whose charge is Rohit Kumar?,people
who heads work of PiyushCust RajputMer?,people
who is administrative head for Shubham Jain?,people
higher manager of Neha Sharma?,people
lead for Rishiraj Biswas?,people
who monitors Dawn Devine?,people
whose direction does Parul Sharma follow?,people
responsible manager for Adarsha P?,people
who has leadership over Brandon Ruf?,people
manager handling Dominic Giuliani?,people
supervisor managing Vineet Kane?,people
boss in charge of Evan Kibert?,people
leader accountable for Raghav Sharma?,people
who runs Ansh Dhingra?,people
head assigned to Claire Sharif?,people
immediate superior of Trinh Dao?,people
who commands over Shaun Spinelli?,people
who controls activities of Ankur Khandelwal?,people
who heads the team of Pranshu Gupta?,people
to whom is Rishabh Ahuja responsible?,people
senior head of Jaime Rodriguez?,people
authority guiding Rajesh Saini?,people
overhead manager of Soham Ratilal Munot?,people
head leader for Palak Rathor?,people
who acts as boss for Adarsha P?,people
top authority over Samiksha Rana?,people
senior guide of Rachana Pandey?,people
chief manager for Raghav Takkar?,people
overall manager for Vikrant Naik Gaonkar?,people
who has seniority over Kleavin Howatt?,people
leadership assigned to Dawn Farhi?,people
who has responsibility over Sopan Mittal?,people
reporting authority for Ashish Narang?,people
managing lead for Rahul Verma?,people
who is directing Sandeep Kasar?,people
under whose leadership is Keerthana Ks?,people
who is accountable for Neha Manhas?,people
commanding officer for Sarah Swanberg?,people
main boss of Mike McDermott?,people
manager who guides Abhishek Saini?,people
head managing Rajesh Saini?,people
who does Mike McDermott answer to?,people
whose control is Shashank Verma under?,people
responsible head for Siddharth Sharma?,people
leader in charge of Priti Sharma?,people
who controls and guides Julian Dye?,people
which head manages Reshab Vaigankar?,people
senior authority over Koji Moy?,people
direct boss of Service Account?,people
who is Darien Ngo's reporting authority?,people
who is above Kaweesak Boonyapornnad in hierarchy?,people
manager allocated to Manju Bhardwaj?,people
head overseeing Kumar Shubham?,people
authority responsible for John Tauzin?,people
who all are my peers?,people
my peers ?,people
who are peers of Divyansh Arya ?,people
who are Tarun Singh's peers?,people
who are Joe Matten's compeers?,people
who are Hilary Somers's coevals?,people
who are Krishan Kant Soni's coequals?,people
who are the peers of Maggie Moran?,people
who are the compeers of Kevin Clifford?,people
who are the coevals of Saurav Rawat?,people
who are the coequals of Akash Chauhan?,people
who are the colleagues or peers of Santosh Kumar?,people
who are the other coevals working alongside Rhonda Orman?,people
"within this organization, who are considered Rakshita Jain's peers?",people
who are the contemporaries of Shahir Ali T Azeez?,people
who are the colleagues of Anmol Srivastava?,people
who are the others at the same level as Prathyusha Aparacheruvu?,people
who are the counterparts of Ankur Arora?,people
who are Shubham Jain's professional equals?,people
who are Marija Sakic Alic's fellow professionals?,people
Chandra Mohan Yadav's peers ?,people
Kim Luu compeers ?,people
who are peers of Nick Rose from Nanded Waghala?,people
who are the colleagues at the same level as Anshuman Borkakoti in West Bengal?,people
who in Maheshtala constitutes Vishal Sharma's network of peers?,people
who are Pushker Yadav's professional equals from Hubli and Dharwad?,people
can you identify other coequals working alongside Andre Gerard in Karnataka?,people
"who, from Tirunelveli, are considered Aayushi Singh's professional compeers or coequals?",people
Freny Fernandes's coequals in Vijayawada?,people
Aashish Narang Cust's compeers in Ujjain?,people
Rhonda Orman's peers in Saharanpur?,people
who are Siddharth Sharma's work peers in Jalandhar?,people
who's Adarsha P's colleagues or peers in Odisha?,people
name some peers of PiyushCust RajputMer in Agartala.,people
who's at the same rank as Mayur Gaikwad in Nellore?,people
who are peers of Austin Lemler who joined on 03-07-2024?,people
peers of Shashank Tripathi joined on 01/01/2013?,people
compeers of Insights Integration joined on 01 January 2018?,people
coequals of Christine Robertson joined on 2016-01-01?,people
colleagues at same level as Rajat Gupta joined on 07/03/2024?,people
who's Sonali Gupta's colleagues or peers who joined on 01/01/2024?,people
who's at the same rank as Sync Marketo who joined on  01/01/2019?,people
name some peers of Shashank Tripathi who joined on 01/01/2023.,people
can you identify other coequals working alongside Sahil Tyagi who joined on 01/01/2013?,people
who are Chris Leung's professional equals who joined on 01/01/2020?,people
who all who joined on 2022-01-01 network of peers of Kay Dugger ?,people
who are peers of Arun Cherian from Bihar who joined on 2018-01-01?,people
who are the colleagues at the same level as Parag Kulkarni in Punjab who joined on 01/01/2021?,people
who in Kalyan-Dombivali who joined on 01/01/2024 constitutes Amit Gupta's network of peers?,people
who are Gargi Pawar's professional equals from Odisha who joined on 15/10/2015?,people
can you identify other coequals working alongside G N Vishaar in Cuttack who joined on 01 January 2021?,people
"who, from Guwahati, joined on 01/01/2020 are considered Rachel Smith's professional compeers or coequals?",people
Navdeep Yadav's coequals in West Bengal joined on 01/01/2016?,people
Surendra Padala's compeers in Maharashtra joined on 01/01/2018?,people
Bettelee Lambeth's peers in Kerala joined on 01/01/2022?,people
who are Sandeep Singh's work peers joined on 01 January 2013 in Punjab?,people
who's Cate Beggins's colleagues or peers joined on 01/01/2024 in Rajasthan?,people
name some peers of Enumula Reddy in Uttar Pradesh who joined on 2016-01-01?.,people
who's at the same rank as Abhishek Kumar in Jodhpur who joined on 01/01/2021?,people
who are peers of Huy Nguyen working as TA Ops Specialist ?,people
peers of Tony Tarantino working as Senior Technical Support Engineer ?,people
compeers of Vladyslav Komarov working as Associate Test Engineer ?,people
"coequals of Justin Pena working as VP, Sales Enablement ?",people
Senior IT Engineer who are Palak Rathor peers?,people
Support Operations Manager who are Randy Womack compeers?,people
"Sr. Manager, SaaS Applications who are Andrea Rowland coequals?",people
who are the colleagues at the same level as Douglas Fehrmann II working as Sr. Project Manager?,people
"Director, Implementation Consulting constitutes Reema Sarah Thomas's network of peers?",people
"who are Shivangi Srivastava's professional equals who are Director, Dev Ops?",people
"can you identify other coequals working alongside Jamie Yan who are SVP, Sales?",people
who are all Sr. Marketing Coordinator considered Jamie Yan's professional compeers or coequals?,people
who are John Tauzin's work peers working as Technical Program Manager?,people
who's Michael Berger's colleagues or peers working as Sr. Solutions Consultant?,people
name some peers of Randy Womack working as Sr. Accounting Manager.,people
who's at the same rank as Chae Stewart who work as Support Operations Manager?,people
"who are peers of Akanksha Kumari working as Principal Product Manager, Employee Virtual Assistant from Gulbarga?",people
who are the compeers of Bettelee Lambeth working as Chief Executive Officer from Maharashtra?,people
compeers of Makenzie Shaw working as Strategy & Operations Manager from Kerala?,people
coequals of Sandeep Kasar working as SMB Account Executive from Aligarh?,people
peers of Ashish Narang working as Revenue Operations Specialist from Uttar Pradesh?,people
who are the coequals of Monica Zhang working as Senior IT Engineer from Kolhapur?,people
who are the peers of Harish Rathor working as RFP Manager from Jalandhar?,people
"who, in Kozhikode, are Gargi Pawar's compeers working as Revenue Ops Analyst?",people
"who, in Hubli and Dharwad, are Mary Cate Thalgott's peers who work as Architect Testing?",people
"who, in Agartala, are Rishab Surana's coequals work as Principal Design Architect?",people
who are Anmol Varshney's professional compeers working as Lead Test Engineer in Ujjain?,people
professional compeers of Nick Stipinovich working as RFP Manager in Aligarh?,people
"who are Fay Karchagani's professional peers working as VP, User Experience in Guntur?",people
professional peers of Aman Mehrat working as Architect Testing in Gujarat?,people
who are Ravina Habbu's professional coequals working as Principal Product Manager in Jaipur?,people
professional coequals of Allison Schuchart working as Marketing Copywriter in Tamil Nadu?,people
who are Jeff Schiller's professional coequals working as Lead Graphic Designer in Gaya?,people
identify Patrick Kilcommons's peers working as ABM Sr. Marketing Manager from Pimpri-Chinchwad.,people
" Diksha Bahuguna's compeers or coequals working as Product Management Director, Enterprise Search from Bihar.",people
who are peers of Evan Warner working as Information Security Engineer who joined on 01/01/2024?,people
who are the compeers of Marko Kostervajn working as Business Development Rep who joined on 01/01/2014?,people
"who are the coequals of Rajat Verma working as Senior Director, Professional Services who joined on 01/01/2018?",people
identify Sourya Kaushik's compeers working as Chief Info Security Officer who joined on 01/01/2014.,people
identify Mayank Sethi's coequals working as Credit & Collections Analyst who joined on 01/01/2016.,people
Madhavi Polepeddi's peers working as Sales Development Manager who joined on 01/01/2022.,people
Priyanshi Thakur's compeers as Credit & Collections Analyst from 01/01/2016?,people
Aayushi Singh's coequals as Principal Design Architect from 01/01/2022?,people
"John Tauzin's peers as Senior Executive, People Ops from 01/01/2015?",people
Christine Davis's professional compeers as Chief Insights Officer joining on 01 January 2014?,people
who are Tatyana Grinenko's professional coequals as Lead Graphic Designer joining on 01/01/2020?,people
who are Kevin Cox's professional peers as Technical Support Lead joining on 10/15/2015?,people
who in the same role as Justin Ryckebusch joined on 2021-01-01?,people
"from 01/01/2024, who are the compeers of Kanika Arora working as Digital Customer Success Program Manager?",people
who are peers of Ivan Kos from Lucknow working as Sr. Marketing Programs Manager who joined on 01/01/2022?,people
who are the compeers of Tarunesh Kumar Gautam from Karnataka working as Sr. Compensation Analyst who joined on 01/01/2017?,people
who are the coequals of William Cope from Uttar Pradesh working as Sr. Implementation Consultant who joined on 01/01/2020?,people
who are the peers of Ajay Singh from Gaya working as Support Operations Manager who joined on 01 January 2015?,people
identify Linnea Yeazel's compeers from Mira and Bhayander working as Architect who joined on 2020-01-01.,people
identify Neha Singla's coequals from Ranchi working as Team Lead who joined on 2024-01-01.,people
"identify Christine Davis's peers from Allahabad working as VP, Total Rewards, HRIS & Operations who joined on 01/01/2014.",people
Danyelle Kent's compeers from Tamil Nadu working as Business Development Rep who joined on 01 January 2024?,people
Rafael Lupian's coequals from Maharashtra working as Value Consulting Director who joined on 03/07/2024?,people
Digital CS's peers from Bellary working as Lead Graphic Designer who joined on 01/01/2022?,people
who else from Kanpur joined as Billing and Revenue Specialist on 01/01/2022 who are peers of Andrea Rowland ?,people
who are Ana Ajzele's professional compeers from Salem as Mid Market Account Executive joining on 15 October 2015?,people
"who are Rishiraj Biswas's professional coequals from Uttar Pradesh as Software Engineer, Front End joining on 01/01/2013?",people
"who are Pranshu Gupta's professional peers from Uttar Pradesh as Director, Dev Ops joining on 01/01/2016?",people
"compeers from Kolhapur working as Director, Customer Success who joined with Jennell Dill on 2018-01-01?",people
peers from Moradabad working as Project Manager who joined with Prathyusha Aparacheruvu on 01/01/2023?,people
who else from Uttar Pradesh joined as Creative Director on 01/01/2017 who are compeers of Shubhada Gayakwad ?,people
who else from Meerut joined as Senior Web Developer on 01/01/2015 who are coequals of Pratik Yagnik ?,people
coequals from Warangal working as Team Lead who joined with Rishiraj Biswas on 01/01/2018?,people
who works at the same level as Brianna Dougherty?,people
who shares Viviana Serrato Sotelo position?,people
who are Luciano Ferrari equals?,people
who holds the same role as Deepak Rawat?,people
who matches Tanmay Lanjewar in hierarchy?,people
same level colleagues for Sahil Kaushik?,people
who is alongside Pranshu Gupta?,people
who is parallel to Mary Cate Thalgott?,people
who stands equal to Reema Sarah Thomas?,people
who ranks equal to Calvin Lee?,people
who is on par with Mike McDermott?,people
peers list for Elliot Egharevba?,people
show me Krystal McCann peers?,people
give Pragya Dadhich equals?,people
identify peers of Manju Bhardwaj?,people
which people are same rank as Anmol Srivastava?,people
whose role matches Shambhavi Belligatti?,people
colleagues at Kaweesak Boonyapornnad level?,people
equal rank colleagues of PiyushCust RajputMer?,people
same designation as Tarun Singh?,people
who matches the title of Kamal Sharma?,people
who has peer role to Abhishek Singh?,people
whose grade equals Somna Bhardwaj?,people
who are coworkers equal to Elliot Egharevba?,people
equals of Bala Arun Reddy Vatti in company?,people
list Kashyap Thacker professional equals?,people
who is co-level with Digital CS?,people
same tier staff as Monica Zhang?,people
parallel role to Amanda Pham?,people
at Dawn Farhi level who else works?,people
who is on same ladder as Amit Kumar?,people
workplace peers of Pooja Pathak?,people
give coequals of Mike Villett?,people
give me colleagues of Krati Singhal?,people
anyone peer with Miriam Connaughton?,people
who are in same job band as Lindsey Egan?,people
colleague group with Shubham Bhardwaj?,people
who works parallel to John Kelly?,people
same level team for Mayur Gaikwad?,people
who is contemporary to Suraj Sharma?,people
peers standing with Darien Ngo?,people
other peers for Raghav Takkar?,people
show peers of Sanjla Sindhwani?,people
list out Miriam Connaughton peers?,people
colleagues beside Sanjay Wadge?,people
equals in role of Jamie Yan?,people
peer circle for Danyelle Kent?,people
who are fellow colleagues with Jane Manager?,people
identify equals of Dario Kaja?,people
list coequals for Ajay Singh?,people
same level workers with Mike Boring?,people
others working with Sevanthika S at peer level?,people
team peers with Jeri Feng?,people
who matches Michael Minner seniority?,people
show coworkers equal to Anthony Mazur?,people
colleagues at peer level to Jordan Katz?,people
who else holds peer position of Makenzie Shaw?,people
equals to Justin Pena in office?,people
company peers of Arun Cherian?,people
job peers of Arihant Jain?,people
who are parallel peers of Evan Warner?,people
same group as Akanksha Kumari?,people
who has peer relation with Krishna Varanasi?,people
same job tier as Don Wight?,people
professional peers of Adam Laker?,people
work equals of Rahul Panchal?,people
who works peer to Eric Tine?,people
any colleague peer to Monica Zhang?,people
same designation peers of Sandeep Kasar?,people
coworkers same level as John Kim?,people
office peers of App Integrations?,people
job equals of Darien Ngo?,people
professional equals with Priyanka Sarkar?,people
equal coworkers of Harshita Hajela?,people
same rung colleagues as Kaitlin Stouter?,people
rank equals of Kevin Plaza?,people
peers aligned with Harsh Dubey?,people
peers sitting with Neeral Singh?,people
other equals to Aaron Levermann?,people
fellow peers of Brandon Ruf?,people
colleagues sharing rank with Vikash Tiwari?,people
list peers under Vedant Mehrotra level?,people
equals at Melanie Okada designation?,people
equal grade staff with Som Agarwal?,people
identify coworkers same as Kanish Gandhi?,people
colleague equals Shubham Singh?,people
professional level equals of Allen Liang?,people
peers in company for Divya Agrawal?,people
equal status workers with Krishna Varanasi?,people
list same role colleagues of Deepak Rawat?,people
other equals who match Katie Fred?,people
name Abhishek Singh colleagues?,people
who are coworkers peer of Piyush Rajput?,people
peers standing in same band as Pankaj Sharma?,people
equal level staff alongside Josh Topel?,people
who shares equal grade with Steve Glass?,people
contemporary staff to Anna McDonald?,people
name equals of Sandeep Singh?,people
equal coworkers as Dario Kaja?,people
equals with Vinay Gautam role?,people
show same level employees with Ankur Khandelwal?,people
list coworkers with Nikhil Kumar role?,people
who works in peer line with Breana Raffel?,people
give list of equals for Raghav Takkar?,people
peers in Chhattisgarh with Sachin Verulkar?,people
who equals Joe Matten in Navi Mumbai?,people
colleagues at Sandeep Kasar level in Tamil Nadu?,people
which peers are with Kamal Sharma in Bihar?,people
peers for Ritika Trehan in Bikaner?,people
who is equal to Robert Pearson in Odisha?,people
professional peers of Bhavana Mahalwal in Uttar Pradesh?,people
contemporaries of Rohan Mondal in Punjab?,people
equal grade workers with Shubham Taneja in Bellary?,people
team peers with Ankur Gupta in Mumbai?,people
coworkers alongside Mark Terifaj in Nanded Waghala?,people
fellow equals of Lani Moreno in Mumbai?,people
same role as Tushar Gosalia in Tirunelveli?,people
other equals of Urushi Rajput in Karnataka?,people
who is at the same level as Akshaya Joshi?,people
who shares the position with Davin Wilfrid?,people
who are equals of Shubham Singh?,people
who holds the same role as Tirumala Vasamsetty?,people
who matches Aman Mehrat in hierarchy?,people
same level colleagues of Brandon Ruf?,people
who is alongside Talissa Davis?,people
who is parallel to Sean Coleman?,people
who stands equal to Chris Campbell?,people
who ranks equal to Abhishek Singh?,people
who is on par with Divya Agrawal?,people
peers list of Kaitlin Stouter?,people
show peers of Edward Estandarte?,people
give equals of Ankit Gupta?,people
identify peers of Lokesh Kumar?,people
which people are at the same rank as Linda Timmons?,people
whose role matches Sabika Nazim?,people
colleagues at the level of Ajay Singh?,people
equal rank colleagues of Pranshu Gupta?,people
same designation as Rajat Verma?,people
who matches the title of Sean Coleman?,people
who has a peer role to Sonu Kumar?,people
whose grade equals Justin Ryckebusch?,people
who are coworkers equal to Shashank Tripathi?,people
equals of Brandon Sides in the company?,people
list professional equals of Brandon Ruf?,people
who is co-level with Divya Jain?,people
same tier staff as Mary Cate Thalgott?,people
parallel role to Amit Kumar?,people
at Yawei Liang level who else works?,people
who is on the same ladder as Lakshay Gupta?,people
workplace peers of Pushpak Anand?,people
give coequals of Rachana Pandey?,people
give me colleagues of Chandra Mohan Yadav?,people
anyone peer with Sachin Verulkar?,people
who is in the same job band as Randall Kerr?,people
colleague group with Sabika Nazim?,people
who works parallel to Somto Idigo?,people
same level team as Rohit Kumar?,people
who is contemporary to Anna McDonald?,people
peers standing with Krishna Kant Kaira?,people
other peers of Arun Cherian?,people
show equal colleagues of Aman Kumar Mishra?,people
list out peers of Neeral Singh?,people
colleagues beside Shubham Garg?,people
equals in the role of Jake Patterson?,people
peer circle of Harsh Dubey?,people
who are fellow colleagues of Monica Zhang?,people
identify equals of Anagh Desai?,people
list coequals of Laxman Kaande?,people
same level workers as Ritvik Singh?,people
others working with Yulling Tsai at peer level?,people
team peers with Dhruv Vashist?,people
who matches Shoba Elaiyavalli in seniority?,people
show coworkers equal to Tony Tarantino?,people
colleagues at peer level to Cate Beggins?,people
who else holds peer position of Aykut Firat?,people
equals of Shambhavi Belligatti in office?,people
company peers of Clyde Noronha?,people
job peers of Laxman Kaande?,people
